dex,name,type1,type2,area,how_obtained,source_url
79,Slowpoke,Water,Psychic,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Seaside Tall Grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/slowpoke.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
80,Slowbro,Water,Psychic,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Seaside Tall Grass (Very Rare); Bed with a plush (Rare); Fishing pond (Rare),https://www.serebii.net/pokemonpokopia/pokedex/slowbro.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
199,Slowking,Water,Psychic,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Seaside Tall Grass (Very Rare); Bed with a plush (Rare); Fishing pond (Rare),https://www.serebii.net/pokemonpokopia/pokedex/slowking.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
81,Magnemite,Electric,Steel,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Factory Storage (Common),https://www.serebii.net/pokemonpokopia/pokedex/magnemite.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
82,Magneton,Electric,Steel,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Trash can central (Rare); Mini Game Corner (Common),https://www.serebii.net/pokemonpokopia/pokedex/magneton.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
462,Magnezone,Electric,Steel,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Trash can central (Very Rare); Mini Game Corner (Rare),https://www.serebii.net/pokemonpokopia/pokedex/magnezone.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
95,Onix,Rock,Ground,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Smooth tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/onix.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
208,Steelix,Steel,Ground,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Clink-clang iron construction (Common),https://www.serebii.net/pokemonpokopia/pokedex/steelix.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
104,Cubone,Ground,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Grave with flowers (Common),https://www.serebii.net/pokemonpokopia/pokedex/cubone.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
105,Marowak,Ground,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Grave with flowers (Rare),https://www.serebii.net/pokemonpokopia/pokedex/marowak.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
236,Tyrogue,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Training waterfall (Common),https://www.serebii.net/pokemonpokopia/pokedex/tyrogue.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
106,Hitmonlee,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Urgent Care (Common),https://www.serebii.net/pokemonpokopia/pokedex/hitmonlee.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
107,Hitmonchan,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Exercise resting spot (Common),https://www.serebii.net/pokemonpokopia/pokedex/hitmonchan.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
237,Hitmontop,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Gym first aid (Common),https://www.serebii.net/pokemonpokopia/pokedex/hitmontop.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
109,Koffing,Poison,,Palette Town; Cloud Island,Befriend by building habitat: Trash collection site (Common),https://www.serebii.net/pokemonpokopia/pokedex/koffing.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
110,Weezing,Poison,,Palette Town; Cloud Island,Befriend by building habitat: Good old-fashioned antiques (Common); Trash collection site (Rare),https://www.serebii.net/pokemonpokopia/pokedex/weezing.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
114,Tangela,Grass,,Palette Town; Cloud Island,Befriend by building habitat: Nothin' but Poke Balls (Common),https://www.serebii.net/pokemonpokopia/pokedex/tangela.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
465,Tangrowth,Grass,,Cloud Island,Befriend by building habitat: Bench with greenery (Common),https://www.serebii.net/pokemonpokopia/pokedex/tangrowth.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
123,Scyther,Bug,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/scyther.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
212,Scizor,Bug,Steel,Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/scizor.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
127,Pinsir,Bug,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded tall grass (Rare),https://www.serebii.net/pokemonpokopia/pokedex/pinsir.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
129,Magikarp,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Ocean fishing spot (Common),https://www.serebii.net/pokemonpokopia/pokedex/magikarp.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
130,Gyarados,Water,Flying,Sparkling Skylands; Cloud Island,Befriend by building habitat: Illuminated waterfall (Common),https://www.serebii.net/pokemonpokopia/pokedex/gyarados.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
132,Ditto,Normal,,,Player character (Ditto); registered in the Pokédex automatically (Nintendo Life lists habitat N/A).,https://www.serebii.net/pokemonpokopia/pokedex/ditto.shtml | https://www.nintendolife.com/guides/pokemon-pokopia-complete-pokedex-all-pokemon-habitats
163,Hoothoot,Normal,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated tall grass (Common); Pretty flower bed (Common); Gently lit bed (Common). Restrictions: Elevated tall grass [time: Night]; Pretty flower bed [time: Night]; Gently lit bed [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/hoothoot.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
164,Noctowl,Normal,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated tall grass (Rare); Gently lit bed (Rare). Restrictions: Elevated tall grass [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/noctowl.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
214,Heracross,Bug,Fighting,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded tall grass (Rare),https://www.serebii.net/pokemonpokopia/pokedex/heracross.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
313,Volbeat,Bug,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated flower bed (Rare),https://www.serebii.net/pokemonpokopia/pokedex/volbeat.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
314,Illumise,Bug,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated flower bed (Rare),https://www.serebii.net/pokemonpokopia/pokedex/illumise.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
316,Gulpin,Poison,,Withered Wastelands; Cloud Island,Befriend by building habitat: Tantalizing dining set,https://www.serebii.net/pokemonpokopia/pokedex/gulpin.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
317,Swalot,Poison,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Dinner table surprise (Rare),https://www.serebii.net/pokemonpokopia/pokedex/swalot.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
331,Cacnea,Grass,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Sunny Day site (Common). Restrictions: Sunny Day site [weather: Sun],https://www.serebii.net/pokemonpokopia/pokedex/cacnea.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
332,Cacturne,Grass,Dark,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded flower bed (Rare). Restrictions: Tree-shaded flower bed [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/cacturne.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
415,Combee,Bug,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Pretty flower bed (Common),https://www.serebii.net/pokemonpokopia/pokedex/combee.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
416,Vespiquen,Bug,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Field of Flowers (Common),https://www.serebii.net/pokemonpokopia/pokedex/vespiquen.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
422,Shellos (West Sea),Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Road Sign (Common),https://www.serebii.net/pokemonpokopia/pokedex/shellos.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
423,Gastrodon (West Sea),Water,Ground,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Ocean fishing spot (Rare),https://www.serebii.net/pokemonpokopia/pokedex/gastrodon.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
425,Drifloon,Ghost,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Riding warm updrafts (Common); Bed with a plush (Common); Plush central (Common),https://www.serebii.net/pokemonpokopia/pokedex/drifloon.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
426,Drifblim,Ghost,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Plush central (Common),https://www.serebii.net/pokemonpokopia/pokedex/drifblim.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
529,Drilbur,Ground,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Fresh Veggie Field (Common),https://www.serebii.net/pokemonpokopia/pokedex/drilbur.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
530,Excadrill,Ground,Steel,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Fresh Veggie Field (Rare),https://www.serebii.net/pokemonpokopia/pokedex/excadrill.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
532,Timburr,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Boulder-shaded Tall Grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/timburr.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
533,Gurdurr,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Boulder-shaded Tall Grass (Rare); Large luggage carrier (Common),https://www.serebii.net/pokemonpokopia/pokedex/gurdurr.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
534,Conkeldurr,Fighting,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Construction-site generator (Common),https://www.serebii.net/pokemonpokopia/pokedex/conkeldurr.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
607,Litwick,Ghost,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Grave offering (Common); Creepy grave offering (Common),https://www.serebii.net/pokemonpokopia/pokedex/litwick.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
608,Lampent,Ghost,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Grave offering (Rare); Creepy grave offering (Common),https://www.serebii.net/pokemonpokopia/pokedex/lampent.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
609,Chandelure,Ghost,Fire,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Creepy grave offering (Rare),https://www.serebii.net/pokemonpokopia/pokedex/chandelure.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
