pokopia_dex,category,pokopia_no,national_dex,name,species,form,serebii_name,type1,type2,area,habitats,habitat_areas,habitat_rarity,habitat_time,habitat_weather,nl_habitat_requirements,nl_time,nl_weather,specialties,ideal_habitat,favorites,underwater,classification,how_obtained,source_url
Main #011,Main,11,17,Pidgeotto,Pidgeotto,,Pidgeotto,Normal,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Elevated tall grass | Pretty flower bed,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Rare,Morning/Day/Evening | Morning/Day/Evening,Sun/Cloud/Rain | Sun/Cloud/Rain,"Elevated Tall Grass - Tall Grass x4, High-up Location | Pretty Flower Bed - Wildflowers x4","Morning, Daytime, Evening",All weather,"Fly, Search",Bright,"Soft stuff, Nice breezes, Watching stuff, Lots of nature, Looks like food, Spicy flavors",No,Bird Pokémon,Befriend by building habitat: Elevated tall grass (Rare); Pretty flower bed (Rare). Restrictions: Elevated tall grass [time: Morning/Day/Evening]; Pretty flower bed [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/pidgeotto.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #012,Main,12,18,Pidgeot,Pidgeot,,Pidgeot,Normal,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Luxury chirp-chirp meal,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening,Sun/Cloud/Rain,"Luxury Chirp-chirp Meal - Wooden Birdhouse x1, Berry Basket x1","Morning, Daytime, Evening",All weather,"Fly, Chop",Bright,"Soft stuff, Nice breezes, Wooden stuff, Lots of nature, Luxury, Sour flavors",No,Bird Pokémon,Befriend by building habitat: Luxury chirp-chirp meal (Common). Restrictions: Luxury chirp-chirp meal [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/pidgeot.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #013,Main,13,43,Oddish,Oddish,,Oddish,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tall Grass,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Night,Sun/Cloud/Rain,Tall Grass - Tall Grass x4,Nighttime,All weather,Grow,Humid,"Lots of nature, Lots of dirt, Soft stuff, Pretty flowers, Lots of water, Bitter flavors",No,Weed Pokémon,Befriend by building habitat: Tall Grass (Common). Restrictions: Tall Grass [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/oddish.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #014,Main,14,44,Gloom,Gloom,,Gloom,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tropical vibes,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Tropical Vibes - Large Palm Tre x1, Seashore Flowers x4",All day,All weather,Grow,Humid,"Lots of nature, Lots of dirt, Soft stuff, Pretty flowers, Garbage, Dry flavors",No,Weed Pokémon,Befriend by building habitat: Tropical vibes (Common),https://www.serebii.net/pokemonpokopia/pokedex/gloom.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #015,Main,15,45,Vileplume,Vileplume,,Vileplume,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Chansey Resting area,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Chansey Resting Area - Hedge (any) x6, Seat (wide) x1, Chansey Plant x1",All day,All weather,"Grow, Litter",Humid,"Lots of nature, Lots of dirt, Soft stuff, Pretty flowers, Colorful stuff, Bitter flavors",No,Flower Pokémon,Befriend by building habitat: Chansey Resting area (Rare),https://www.serebii.net/pokemonpokopia/pokedex/vileplume.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #016,Main,16,182,Bellossom,Bellossom,,Bellossom,Grass,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Chansey Resting area,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Chansey Resting Area - Hedge (any) x6, Seat (wide) x1, Chansey Plant x1",All day,All weather,"Grow, Hype",Bright,"Lots of nature, Pretty flowers, Play spaces, Cute stuff, Noisy stuff, Sour flavors",No,Flower Pokémon,Befriend by building habitat: Chansey Resting area (Rare),https://www.serebii.net/pokemonpokopia/pokedex/bellossom.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #017,Main,17,46,Paras,Paras,,Paras,Bug,Grass,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Elevated flower bed | Flower garden,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Elevated Flower Bed - Wildflowers x4, High-up Location | Flower Garden - Hedge (any) x4, Wildflowers x4",All day,All weather,Search,Humid,"Lots of nature, Wooden stuff, Watching stuff, Lots of dirt, Looks like food, Bitter flavors",No,Mushroom Pokémon,Befriend by building habitat: Elevated flower bed (Common); Flower garden (Common),https://www.serebii.net/pokemonpokopia/pokedex/paras.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #018,Main,18,47,Parasect,Parasect,,Parasect,Bug,Grass,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Elevated flower bed | Flower garden,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Flower Garden - Hedge (any) x4, Wildflowers x4 | Elevated Flower Bed - Wildflowers x4, High-up Location",All day,All weather,Search,Humid,"Lots of nature, Wooden stuff, Watching stuff, Lots of dirt, Strange stuff, Bitter flavors",No,Mushroom Pokémon,Befriend by building habitat: Elevated flower bed (Rare); Flower garden (Rare),https://www.serebii.net/pokemonpokopia/pokedex/parasect.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #019,Main,19,48,Venonat,Venonat,,Venonat,Bug,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Illuminated tall grass | Illuminated bench,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Night | Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Illuminated Tall Grass - Tall Grass (any) x4, Lighting (any) x1 | Illuminated Bench - Seat (wide) x1, Streetlight (any) x1",Nighttime,All weather,Search,Bright,"Lots of nature, Wooden stuff, Watching stuff, Complicated stuff, Letters and words, Bitter flavors",No,Insect Pokémon,Befriend by building habitat: Illuminated tall grass (Common); Illuminated bench (Common). Restrictions: Illuminated tall grass [time: Night]; Illuminated bench [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/venonat.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #020,Main,20,49,Venomoth,Venomoth,,Venomoth,Bug,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Illuminated tall grass | Illuminated bench,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Rare,Night | Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Illuminated Bench - Seat (wide) x1, Streetlight (any) x1 | Illuminated Tall Grass - Tall Grass (any) x4, Lighting (any) x1",Nighttime,All weather,Search,Bright,"Lots of nature, Wooden stuff, Watching stuff, Nice breezes, Pretty flowers, Bitter flavors",No,Poison Moth Pokémon,Befriend by building habitat: Illuminated tall grass (Rare); Illuminated bench (Rare). Restrictions: Illuminated tall grass [time: Night]; Illuminated bench [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/venomoth.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #021,Main,21,69,Bellsprout,Bellsprout,,Bellsprout,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tree-shaded tall grass,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Tree-shaded Tall Grass - Large Tree (any) x1, Tall Grass x4",All day,All weather,"Grow, Litter",Humid,"Lots of nature, Wooden stuff, Lots of dirt, Lots of water, Pretty flowers, Dry flavors",No,Flower Pokémon,Befriend by building habitat: Tree-shaded tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/bellsprout.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #022,Main,22,70,Weepinbell,Weepinbell,,Weepinbell,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Flowery table | Irresistible scent and glow,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Irresistable Scent and Glow - Pitcher-plant pot x1, Plated Food x1, Mushroom Lamp x1 | Flowery Table - Seat (any) x1, Table (any) x1, Small Vase x1",All day,All weather,"Grow, Litter",Humid,"Lots of nature, Wooden stuff, Lots of dirt, Colorful stuff, Pretty flowers, Bitter flavors",No,Flycatcher Pokémon,Befriend by building habitat: Flowery table (Rare); Irresistible scent and glow (Common),https://www.serebii.net/pokemonpokopia/pokedex/weepinbell.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #023,Main,23,71,Victreebel,Victreebel,,Victreebel,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Flowery table | Irresistible scent and glow,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Very Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Irresistable Scent and Glow - Pitcher-plant pot x1, Plated Food x1, Mushroom Lamp x1 | Flowery Table - Seat (any) x1, Table (any) x1, Small Vase x1",All day,All weather,"Grow, Chop",Humid,"Lots of nature, Wooden stuff, Lots of dirt, Colorful stuff, Pretty flowers, Bitter flavors",No,Flycatcher Pokémon,Befriend by building habitat: Flowery table (Very Rare); Irresistible scent and glow (Rare),https://www.serebii.net/pokemonpokopia/pokedex/victreebel.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #024,Main,24,79,Slowpoke,Slowpoke,,Slowpoke,Water,Psychic,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Seaside Tall Grass,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Seaside Tall Grass - Tall Grass x4, Ocean Water x2",All day,All weather,"Water, Yawn",Humid,"Lots of water, Cleanliness, Strange stuff, Soft stuff, Healing, Dry flavors",Underwater capable,Dopey Pokémon,Befriend by building habitat: Seaside Tall Grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/slowpoke.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #025,Main,25,80,Slowbro,Slowbro,,Slowbro,Water,Psychic,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Seaside Tall Grass | Bed with a plush | Fishing pond,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Very Rare | Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain | Sun/Cloud/Rain,"Fishing Pond - Fishing Rod x1, Seat (any) x1, Water x1 | Bed With a Plush - Bed (any) x1, Doll (any) x1 | Seaside Tall Grass - Tall Grass x4, Ocean Water x2",All day,All weather,"Water, Trade",Humid,"Lots of water, Cleanliness, Strange stuff, Group Activities, Healing, Dry flavors",Underwater capable,Hermit Crab Pokémon,Befriend by building habitat: Seaside Tall Grass (Very Rare); Bed with a plush (Rare); Fishing pond (Rare),https://www.serebii.net/pokemonpokopia/pokedex/slowbro.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #026,Main,26,199,Slowking,Slowking,,Slowking,Water,Psychic,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Seaside Tall Grass | Bed with a plush | Fishing pond,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Very Rare | Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain | Sun/Cloud/Rain,"Fishing Pond - Fishing Rod x1, Seat (any) x1, Water x1 | Bed With a Plush - Bed (any) x1, Doll (any) x1 | Seaside Tall Grass - Tall Grass x4, Ocean Water x2",All day,All weather,"Water, Teleport",Humid,"Lots of water, Cleanliness, Strange stuff, Group Activities, Healing, Sour flavors",Underwater capable,Royal Pokémon,Befriend by building habitat: Seaside Tall Grass (Very Rare); Bed with a plush (Rare); Fishing pond (Rare),https://www.serebii.net/pokemonpokopia/pokedex/slowking.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #027,Main,27,81,Magnemite,Magnemite,,Magnemite,Electric,Steel,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Factory Storage,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Factory Storage - Stretlight (any) x1, Control Unit x1, Metal Drum x1, Jumbled Cords x1",All day,All weather,Generate,Bright,"Electronics, Metal stuff, Shiny stuff, Hard stuff, Group Activities, Bitter flavors",No,Magnet Pokémon,Befriend by building habitat: Factory Storage (Common),https://www.serebii.net/pokemonpokopia/pokedex/magnemite.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
